time,mmsi,nav_status,sog,cog,rot,true_head,lon,lat,draught,dis,delta_time,phase
1667288728,357420000,0,17.2,2221,0,220,113.036598,21.1786,82,0.08465882,9,sea
1667288734,357420000,0,17.4,2246,0,221,113.036201,21.178301,82,0.052912816,6,sea
1667288740,357420000,0,17.3,2203,0,221,113.035896,21.1779,82,0.054665126,6,sea
1667288745,357420000,0,17.3,2234,0,220,113.0355,21.177601,82,0.052832443,5,sea
1667288757,357420000,0,17.4,2201,0,221,113.034798,21.1768,82,0.11502597,12,sea
1667288764,357420000,0,17.5,2251,0,220,113.0345,21.1765,82,0.045469873,7,sea
1667288770,357420000,0,17.4,2216,0,221,113.034103,21.1761,82,0.06060305,6,sea
1667288775,357420000,0,17.5,2217,0,220,113.033798,21.175699,82,0.054665376,5,sea
1667288782,357420000,0,17.6,2241,0,220,113.033401,21.1754,82,0.052913584,7,sea
1667288787,357420000,0,17.5,2220,0,221,113.033096,21.174999,82,0.054665457,5,sea
1667288800,357420000,0,17.6,2219,0,220,113.032402,21.174299,82,0.10600305,13,sea
1667288805,357420000,0,17.5,2220,0,220,113.031998,21.173901,82,0.06093711,5,sea
1667288811,357420000,0,17.6,2231,0,220,113.0317,21.173599,82,0.0456337,6,sea
1667288817,357420000,0,17.7,2212,0,220,113.031303,21.173201,82,0.060440578,6,sea
1667288824,357420000,0,17.6,2232,0,220,113.030998,21.1728,82,0.054665703,7,sea
1667288829,357420000,0,17.5,2227,0,219,113.030602,21.172501,82,0.052833468,5,sea
1667288841,357420000,0,17.6,2228,0,220,113.0299,21.1717,82,0.115027495,12,sea
1667288847,357420000,0,17.8,2215,0,219,113.029503,21.1714,82,0.052984223,6,sea
1667288853,357420000,0,17.7,2202,0,220,113.029198,21.171,82,0.05457528,6,sea
1667288860,357420000,0,17.5,2223,0,220,113.0289,21.170601,82,0.054066665,7,sea
1667288865,357420000,0,17.8,2224,0,220,113.028503,21.1702,82,0.060685825,5,sea
1667288871,357420000,0,17.8,2207,0,221,113.028198,21.169901,82,0.04588649,6,sea
1667288877,357420000,0,17.5,2242,0,220,113.027802,21.1695,82,0.060615614,6,sea
1667288885,357420000,0,17.7,2229,0,219,113.027397,21.1691,82,0.061170865,8,sea
1667288889,357420000,0,17.6,2226,0,219,113.0271,21.1688,82,0.045400545,4,sea
1667288895,357420000,0,17.5,2200,0,219,113.026802,21.1684,82,0.054158103,6,sea
1667288901,357420000,0,17.7,2236,0,218,113.026398,21.1681,82,0.05355078,6,sea
1667288907,357420000,0,17.6,2191,0,221,113.0261,21.1677,82,0.05415827,6,sea
1667288913,357420000,0,17.5,2224,0,219,113.025703,21.167299,82,0.060686346,6,sea
1667288919,357420000,0,17.8,2211,0,220,113.025398,21.166901,82,0.054394647,6,sea
1667288931,357420000,0,17.7,2248,0,219,113.024597,21.166201,82,0.11382967,12,sea
1667288937,357420000,0,17.7,2187,0,220,113.0243,21.1658,82,0.054190878,6,sea
1667288944,357420000,0,17.6,2249,0,219,113.023903,21.165501,82,0.05291554,7,sea
1667288950,357420000,0,17.7,2197,0,219,113.023598,21.1651,82,0.054666694,6,sea
1667289070,357420000,0,17.6,2232,0,220,113.016701,21.1577,82,1.0902189,120,sea
1667289076,357420000,0,17.6,2213,0,220,113.016403,21.157301,82,0.05406825,6,sea
1667289081,357420000,0,17.7,2222,0,221,113.015999,21.157,82,0.053622596,5,sea
1667289089,357420000,0,17.7,2223,0,220,113.015701,21.156601,82,0.05406833,8,sea
1667289093,357420000,0,17.7,2221,0,221,113.015297,21.1562,82,0.06118317,4,sea
1667289099,357420000,0,17.8,2235,0,220,113.0149,21.155899,82,0.05305774,6,sea
1667289111,357420000,0,17.6,2232,0,221,113.014297,21.155199,82,0.09984352,12,sea
1667289116,357420000,0,17.7,2229,0,218,113.014,21.1549,82,0.04532097,5,sea
1667289135,357420000,0,17.8,2222,0,219,113.012802,21.153601,82,0.19051996,19,sea
1667289140,357420000,0,17.8,2217,0,221,113.012497,21.153299,82,0.04613116,5,sea
1667289147,357420000,0,17.5,2232,0,219,113.0121,21.152901,82,0.060444456,7,sea
